DocumentType,DocumentTitle,Abstract,Author,Editor,BookAuthors,PublicationName,Publisher,PublicationYear,PrintedPublicationYear,PublisherCity,Volume,Issue,StartPage,EndPage,BookTitle,BookSeriesTitle,Descriptors,PMID,ID,Correspondence,ISSN,ISBN,DOI
Journal Article,Not all order memory is equal: Test demands reveal dissociations in memory for sequence information.,"Remembering the order of a sequence of events is a fundamental feature of episodic memory. Indeed, a number of formal models represent temporal context as part of the memory system, and memory for order has been researched extensively. Yet, the nature of the code(s) underlying sequence memory is still relatively unknown. Across 4 experiments that manipulated encoding task, we found evidence for 3 dissociable facets of order memory. Experiment 1 introduced a test requiring a judgment of which of 2 alternatives had immediately followed a word during encoding. This measure revealed better retention of interitem associations following relational encoding (silent reading) than relatively item-specific encoding (judging referent size), a pattern consistent with that observed in previous research using order reconstruction tests. In sharp contrast, Experiment 2 demonstrated the reverse pattern: Memory for the studied order of 2 sequentially presented items was actually better following item-specific encoding than following relational encoding. Experiment 3 reproduced this dissociation in a single experiment using both tests. Experiment 4 extended these findings by further dissociating the roles of relational encoding and item strength in the 2 tests. Taken together, these results indicate that memory for event sequence is influenced by (a) interitem associations, (b) the emphasized directionality of an association, and (c) an item’s strength independent of other items. Memory for order is more complicated than has been portrayed in theories of memory and its nuances should be carefully considered when designing tests and models of temporal and relational memory. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Jonker, Tanya R.;MacLeod, Colin M.",,,,American Psychological Association,2017,,US,43,2,177,188,,,*Associative Processes;  *Memory;  *Temporal Order (Judgment); Episodic Memory,27656871,2016-45382-001,"Jonker, Tanya R.: Center for Neuroscience, University of California, Davis, 1544 Newton Court, Davis, CA, US, 95618, tanyarjonker@gmail.com",1939-1285(Electronic);0278-7393(Print),,http://dx.doi.org/10.1037/xlm0000301
Journal Article,Individual differences in media multitasking and performance on the n-back.,"A number of studies have recently examined the link between individual differences in media multitasking (using the MMI) and performance on working memory paradigms. However, these studies have yielded mixed results. Here we examine the relation between media multitasking and one particular working memory paradigm—the n-back (2- and 3-back)—improving upon previous research by (a) treating media multitasking as a continuous variable and adopting a correlational approach as well as (b) using a large sample of participants. First, we found that higher scores on the MMI were associated with a greater proportion of omitted trials on both the 2-back and 3-back, indicating that heavier media multitaskers were more disengaged during the n-back. In line with such a claim, heavier media multitaskers were also more likely to confess to responding randomly during various portions of the experiment, and to report media multitasking during the experiment itself. Importantly, when controlling for the relation between MMI scores and omissions, higher scores on the MMI were associated with an increase in false alarms, but not with a change in hits. These findings refine the extant literature on media multitasking and working memory performance (specifically, performance on the n-back), and suggest that media multitasking may be related to the propensity to disengage from ongoing tasks. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Ralph, Brandon C. W.;Smilek, Daniel",,,,Springer,2017,,Germany,79,2,582,592,,,*Individual Differences;  *Short Term Memory;  *Multitasking; Multimedia,28004374,2016-61752-001,"Ralph, Brandon C. W.: Department of Psychology, University of Waterloo, 200 University Ave. West, Waterloo, ON, Canada, N2L 3G1, bcwralph@uwaterloo.ca",1943-393X(Electronic);1943-3921(Print),,http://dx.doi.org/10.3758/s13414-016-1260-y
Journal Article,Prevalence of financial fraud and scams among older adults in the United States: A systematic review and meta-analysis.,"Background: The financial exploitation of older adults was recently recognized by the Centers for Disease Control and Prevention as a serious public health problem. Knowledge of the prevalence of elder financial exploitation is mostly limited to the category of financial abuse, which occurs in relationships involving an expectation of trust. Little is known about the other major category of elder financial exploitation—elder financial fraud and scams, which is perpetrated by strangers. A valid estimate of elder financial fraud–scam prevalence is necessary as a foundation for research and prevention efforts. Objectives: To estimate the prevalence of elder financial fraud–scam victimization in the United States based on a systematic review and meta-analysis. Search Methods: Multiple investigators independently screened titles and abstracts and reviewed relevant full-text records from PubMed, Medline, PsycINFO, Criminal Justice Abstracts, Social Work Abstracts, and AgeLine databases. Selection Criteria: To maximize the validity and generalizability of prevalence estimation, we restricted eligibility to general populationbased studies (English speaking, 1990 onward) using state- or national-level probability sampling and collecting data directly from older adults. Data Collection and Analysis: Information on elder financial fraud–scam prevalence and study-level characteristics was extracted independently by 2 investigators. Meta-analysis of elder financial fraud–scam prevalence used generalized mixed models with individual studies as levels of a random classification factor. Main Results: We included 12 studies involving a total of 41 711 individuals in the meta-analysis. Overall pooled elder financial fraud–scam prevalence (up to 5-year period) across studies was 5.6% (95% confidence interval [CI] = 4.0%, 7.8%), with a 1-year period prevalence of 5.4% (95% CI = 3.2%, 7.6%). Studies using a series of questions describing specific fraud–scam events to measure victimization found a significantly higher prevalence (7.1%; 95% CI = 4.8%, 9.4%) than studies using a single, generalquestion self-report assessment approach (3.6%; 95% CI = 1.8%, 5.4%). Author’s Conclusions: Elder financial fraud and scams is a common problem, affecting approximately 1 of every 18 cognitively intact, community-dwelling older adults each year; it requires further attention from researchers, clinicians, and policymakers. Elder financial fraud–scam prevalence findings in this study likely underestimate the true population prevalence. We provide methodological recommendations to limit older adult participation and reporting bias in future population-based research. Public Health Implications: Elder financial exploitation victimization is associated with mortality, hospitalization, and poor physical and mental health. Health care professionals working with older adults likely routinely encounter patients who are fraud–scam victims. Validation of instruments to screen for elder financial fraud and scams in clinical settings is an important area of future research. Without effective primary prevention strategies, the absolute scope of this problem will escalate with the growing population of older adults. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Burnes, David;Henderson Jr., Charles R.;Sheppard, Christine;Zhao, Rebecca;Pillemer, Karl;Lachs, Mark S.",,,,American Public Health Assn,2017,,US,107,8,e13,e21,,,*Finance;  *Fraud; Victimization,28640686,2017-32100-001,"Burnes, David: University of Toronto, Factor-Inwentash Faculty of Social Work, 246 Bloor St West, Toronto, ON, Canada, M5S1V4, david.burnes@utoronto.ca",1541-0048(Electronic);0090-0036(Print),,http://dx.doi.org/10.2105/AJPH.2017.303821
Journal Article,A maternal diet high in saturated fat impairs offspring hippocampal function in a sex-specific manner.,"While a maternal diet high in saturated fat is likely to affect foetal brain development, whether the effects are the same for male and female offspring is unclear. As a result, we randomly assigned female, Sprague-Dawley rats to either a control, or high-fat diet (HFD; 45% of calories from saturated fat) for 10 weeks. A range of biometrics were collected, and hippocampal function was assessed at both the tissue level (by measuring synaptic plasticity) and at the behavioural level (using the Morris water maze; MWM). Subsequently, a subset of animals was bred and remained on their respective diets throughout gestation and lactation. On post-natal day 21, offspring were weaned and placed onto the control diet; biometrics and spatial learning and memory were then assessed at both adolescence and young adulthood. Although the HFD led to changes in the maternal generation consistent with an obese phenotype, no impairments were noted at the level of hippocampal synaptic plasticity, or MWM performance. Unexpectedly, among the offspring, a sexually dimorphic effect upon MWM performance became apparent. In particular, adolescent male offspring displayed a greater latency to reach the platform during training trials and spent less time in the target quadrant during the probe test; notably, when re-examined during young adulthood, the performance deficit was no longer present. Overall, our work suggests the existence of sexual dimorphism with regard to how a maternal HFD affects hippocampal-dependent function in the offspring brain. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Robb, Jamie-Lee;Messa, Isabelle;Lui, Erika;Yeung, Derrick;Thacker, Jonathan;Satvat, Elham;Mielke, John G.",,,,Elsevier Science,2017,,Netherlands,326,,187,199,,,*Animal Sex Differences;  *Diets;  *Hippocampus;  *Synaptic Plasticity; Rats,28259676,2017-19294-022,"Mielke, John G.: School of Public Health and Health Systems, University of Waterloo, 200 University Avenue West, Waterloo, ON, Canada, N2L 3G1, jgmielke@uwaterloo.ca",0166-4328(Print),,http://dx.doi.org/10.1016/j.bbr.2017.02.049
Journal Article,Intrusive thoughts: Linking spontaneous mind wandering and OCD symptomatology.,"One recent line of research in the literature on mind wandering has been concerned with examining rates of mind wandering in special populations, such as those characterized by attention-deficit/hyperactivity disorder, dysphoria, and schizophrenia. To best conceptualize mind wandering in studies examining special populations, it has recently been suggested that researchers distinguish between deliberate and spontaneous subtypes of this experience. Extending this line of research on mind wandering in special populations, in a large non-clinical sample (N = 2636), we examined how rates of deliberate and spontaneous mind wandering vary with symptoms of obsessive–compulsive disorder (OCD). Results indicate that, whereas deliberate mind wandering is not associated with OCD symptomatology, spontaneous mind wandering is, with higher reports of spontaneous mind wandering being associated with higher reports of OCD symptoms. We discuss the implications of these results for understanding both mind wandering and OCD. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Seli, Paul;Risko, Evan F.;Purdon, Christine;Smilek, Daniel",,,,Springer,2017,,Germany,81,2,392,398,,,*Attention Deficit Disorder with Hyperactivity;  *Major Depression;  *Mind;  *Schizophrenia;  *Symptoms; Mind Wandering,26886575,2016-09135-001,"Seli, Paul: Department of Psychology, Harvard University, William James Hall, 33 Kirkland Street, Cambridge, MA, US, 02138, paulseli@fas.harvard.edu",1430-2772(Electronic);0340-0727(Print),,http://dx.doi.org/10.1007/s00426-016-0756-3
Journal Article,A neurobehavioral mechanism linking behaviorally inhibited temperament and later adolescent social anxiety.,"Objective: Behavioral inhibition (BI) is a temperament identified in early childhood that is a risk factor for later social anxiety. However, mechanisms underlying the development of social anxiety remain unclear. To better understand the emergence of social anxiety, longitudinal studies investigating changes at behavioral neural levels are needed. Method: BI was assessed in the laboratory at 2 and 3 years of age (N = 268). Children returned at 12 years, and an electroencephalogram was recorded while children performed a flanker task under 2 conditions: once while believing they were being observed by peers and once while not being observed. This methodology isolated changes in error monitoring (error-related negativity) and behavior (post-error reaction time slowing) as a function of social context. At 12 years, current social anxiety symptoms and lifetime diagnoses of social anxiety were obtained. Results: Childhood BI prospectively predicted social-specific error-related negativity increases and social anxiety symptoms in adolescence; these symptoms directly related to clinical diagnoses. Serial mediation analysis showed that social error-related negativity changes explained relations between BI and social anxiety symptoms (n = 107) and diagnosis (n = 92), but only insofar as social context also led to increased post-error reaction time slowing (a measure of error preoccupation); this model was not significantly related to generalized anxiety. Conclusion: Results extend prior work on socially induced changes in error monitoring and error preoccupation. These measures could index a neurobehavioral mechanism linking BI to adolescent social anxiety symptoms and diagnosis. This mechanism could relate more strongly to social than to generalized anxiety in the peri-adolescent period. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Buzzell, George A.;Troller-Renfree, Sonya V.;Barker, Tyson V.;Bowman, Lindsay C.;Chronis-Tuscano, Andrea;Henderson, Heather A.;Kagan, Jerome;Pine, Daniel S.;Fox, Nathan A.",,,,Elsevier Science,2017,,Netherlands,56,12,1097,1105,,,*Early Experience;  *Personality;  *Social Anxiety;  *Adolescent Characteristics;  *Behavioral Inhibition; Error-Related Negativity,29173744,2017-53915-021,"Buzzell, George A.: Benjamin Building, 3942 Campus Drive, College Park, MD, US, 20742, gbuzzell@umd.edu",1527-5418(Electronic);0890-8567(Print),,http://dx.doi.org/10.1016/j.jaac.2017.10.007
Journal Article,Divergent effects of distance versus velocity disturbances on emotional experiences during goal pursuit.,"Disturbances are factors outside of a person’s control that influence goal progress. Although disturbances are typically included in theoretical accounts of goal pursuit, relatively little empirical research has explicitly considered the effects of disturbances on the goal-striving process. We address this gap in the literature by examining the effects that disturbances have on the emotional experience of goal pursuit. More importantly, we differentiate between distance disturbances (changes to the amount of progress made) and velocity disturbances (changes to the rate of progress made). We conducted 2 experiments (N = 62 and N = 134) in which participants completed work simulation tasks to earn a $5.00 reward. Partway through the experiment participants’ progress was inhibited by either a distance disturbance or a velocity disturbance. Importantly, the distance and velocity disturbances were equated in terms of their influence on the likelihood of obtaining the cash prize. In both studies the introduction of a disturbance decreased enthusiasm and increased frustration. However, over time the effects of distance and velocity disturbances on enthusiasm and frustration diverged. Specifically, the velocity disturbance had a more enduring effect on these emotions, relative to the distance disturbance. Downstream, in Study 1 enthusiasm positively predicted goal commitment. In Study 2 enthusiasm positively predicted goal commitment, effort, and task performance. Likewise, in Study 2 frustration negatively predicted goal commitment and task performance. Therefore, relative to distance disturbances, velocity disturbances appear to be more disruptive to goal pursuit. We discuss theoretical implications and practical implications for managing employee motivation. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Beck, James W.;Scholer, Abigail A.;Hughes, Jeffrey",,,,American Psychological Association,2017,,US,102,7,1109,1123,,,*Emotions;  *Enthusiasm;  *Goal Setting;  *Self-Regulation; Commitment; Goals; Velocity,28333496,2017-12885-001,"Beck, James W.: Department of Psychology, University of Waterloo, Waterloo, ON, Canada, N2L 3G1, James.Beck@uwaterloo.ca",1939-1854(Electronic);0021-9010(Print),,http://dx.doi.org/10.1037/apl0000210
Journal Article,Decentering increases approach motivation among distressed individuals.,"Decentering is the process of observing one's thoughts from a self-distanced (i.e. third-person) and non-judgmental perspective, and it is clinically known for its anxiolytic and anti-depressive effects. However there is only preliminary evidence relating decentering to improved motivation, and no studies have controlled for changes in affect which can obscure the measurement of motivation (Harmon-Jones, Harmon-Jones, & Price, 2013). In the current investigation, two experiments tested the hypothesis that decentering increases approach motivation, a buoyant state characterized by goal pursuit, independently of changes in affect. In Study 1 (N = 148), decentering was induced using a self-distancing manipulation (i.e. fly-on-the-wall; Kross & Ayduk, 2011), and in Study 2 (N = 143) decentering was induced using brief instructions on applying non-judgmental awareness of thoughts. Following previous research showing that decentering is most effective against negative emotional reactivity for distressed people (Kross & Ayduk, 2009), our hypothesis focused on high trait distress participants. Trait distress was operationalized as the average of standardized distress-related scales (e.g. rumination, depression, uncertainty aversion), and state affect was operationalized using the Felt Uncertainty Scale and the PANAS. Analyses revealed that decentering increased self-reported approach motivation for high trait distress individuals, and that this effect was not mediated by changes in state affect. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Eftekhari, Eldar;Tran, Alex;McGregor, Ian",,,,Elsevier Science,2017,,Netherlands,119,,236,241,,,*Distress;  *Goal Setting;  *Motivation; Mindfulness,,2017-40690-043,"Eftekhari, Eldar: Rotman Research Institute (Baycrest), 3560 Bathurst St, Toronto, ON, Canada, M6A 2E1, eeftekhari@research.baycrest.org",0191-8869(Print),,http://dx.doi.org/10.1016/j.paid.2017.07.035
Journal Article,Examining the influence of lecture format on degree of mind wandering.,"We examined mind wandering and memory for information in both live undergraduate lectures and a laboratory-based video lecture. In Study 1, which spanned a full-term live course, we found that degree of mind wandering did not increase over time in an average lecture, and was associated with poorer memory for lecture material. In Study 2, we examined changes in degree of mind wandering across three groups that differed in whether they viewed the lecture in video-recorded or live format, and whether or not they were enrolled in the course. We found that despite viewing the exact same lecture, participants who viewed it in video format showed a significant increase in mind wandering over the duration of the lecture, while those who viewed it live did not. This finding suggests that video, relative to live lectures are especially likely to elicit increases in mind wandering over the duration of a lecture. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Wammes, Jeffrey D.;Smilek, Daniel",,,,Elsevier Science,2017,,Netherlands,6,2,174,184,,,*College Students;  *Curriculum;  *Lecture Method;  *Memory;  *Mind; Mind Wandering,,2017-27490-013,"Wammes, Jeffrey D.: Department of Psychology, University of Waterloo, 200 University Ave W, Waterloo, ON, Canada, N2L 3G1, jwammes@uwaterloo.ca",2211-369X(Electronic);2211-3681(Print),,http://dx.doi.org/10.1016/j.jarmac.2017.01.015
Journal Article,Moving beyond assumptions of deviance: The reconceptualization and measurement of workplace gossip.,"Despite decades of research from other academic fields arguing that gossip is an important and potentially functional behavior, organizational research has largely assumed that gossip is malicious talk. This has resulted in the proliferation of gossip items in deviance scales, effectively subsuming workplace gossip research into deviance research. In this paper, the authors argue that organizational research has traditionally considered only a very narrow subset of workplace gossip, focusing almost exclusively on extreme negative cases which are not reflective of typical workplace gossip behavior. Instead of being primarily malicious, typical workplace gossip can be either positive or negative in nature and may serve important functions. It is therefore recommended that workplace gossip be studied on its own, independent of deviance. To facilitate this, the authors reconceptualize the workplace gossip construct and then develop a series of general-purpose English- and Chinese-language workplace gossip scales. Using 8 samples (including qualitative, multisource, multiwave, and multicultural data), the authors demonstrate the construct validity, reliability, cross-cultural measurement invariance, and acceptable psychometric properties of the workplace gossip scales. Relationships are demonstrated between workplace gossip and a variety of other organizational variables and processes, including uncertainty, emotion validation, self-esteem, norm enforcement, networking, influence, organizational justice, performance, deviance, and turnover. Future directions in workplace gossip research are discussed. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Brady, Daniel L.;Brown, Douglas J.;Liang, Lindie Hanyu",,,,American Psychological Association,2017,,US,102,1,1,25,,,*Antisocial Behavior;  *Employee Interaction;  *Gossip;  *Social Comparison;  *Test Construction; Cross Cultural Differences; Measurement; Psychometrics; Rating Scales; Test Reliability; Test Validity; Working Conditions,27732002,2016-48470-001,"Brady, Daniel L.: Department of Psychology, University of Waterloo, 200 University Avenue West, Waterloo, Canada, N2L 3G1, d2brady@uwaterloo.ca",1939-1854(Electronic);0021-9010(Print),,http://dx.doi.org/10.1037/apl0000164
Journal Article,The application of a decision-theoretic model to estimate the public health impact of vaporized nicotine product initiation in the United States.,"Introduction: The public health impact of vaporized nicotine products (VNPs) such as e-cigarettes is unknown at this time. VNP uptake may encourage or deflect progression to cigarette smoking in those who would not have otherwise smoked, thereby undermining or accelerating reductions in smoking prevalence seen in recent years. Methods: The public health impact of VNP use is modeled in terms of how it alters smoking patterns among those who would have otherwise smoked cigarettes and among those who would not have otherwise smoked cigarettes in the absence of VNPs. The model incorporates transitions from trial to established VNP use, transitions to exclusive VNP and dual use, and the effects of cessation at later ages. Public health impact on deaths and life years lost is estimated for a recent birth cohort incorporating evidence-informed parameter estimates. Results: Based on current use patterns and conservative assumptions, we project a reduction of 21% in smoking-attributable deaths and of 20% in life years lost as a result of VNP use by the 1997 US birth cohort compared to a scenario without VNPs. In sensitivity analysis, health gains from VNP use are especially sensitive to VNP risks and VNP use rates among those likely to smoke cigarettes. Conclusions: Under most plausible scenarios, VNP use generally has a positive public health impact. However, very high VNP use rates could result in net harms. More accurate projections of VNP impacts will require better longitudinal measures of transitions into and out of VNP, cigarette and dual use. Implications: Previous models of VNP use do not incorporate whether youth and young adults initiating VNP would have been likely to have been a smoker in the absence of VNPs. This study provides a decision-theoretic model of VNP use in a young cohort that incorporates tendencies toward smoking and shows that, under most plausible scenarios, VNP use yields public health gains. The model makes explicit the type of surveillance information needed to better estimate the effect of new products and thereby inform public policy. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Levy, David T.;Borland, Ron;Villanti, Andrea C.;Niaura, Raymond;Yuan, Zhe;Zhang, Yian;Meza, Rafael;Holford, Theodore R.;Fong, Geoffrey T.;Cummings, K. Michael;Abrams, David B.",,,,Oxford University Press,2017,,United Kingdom,19,2,149,159,,,*Government Policy Making;  *Public Health;  *Tobacco Smoking; Electronic Cigarettes,27613952,2017-30934-003,"Levy, David T.: Department of Oncology, Lombardi Comprehensive Cancer Center, Georgetown University Medical Center, 3300 Whitehaven Street, Suite 4100, Washington, DC, US, 20007, DL777@georgetown.edu",1469-994X(Electronic);1462-2203(Print),,http://dx.doi.org/10.1093/ntr/ntw158
Journal Article,She bought the unicorn from the pet store: Six- to seven-year-olds are strongly inclined to generate natural explanations.,"In two experiments (N = 64), we told 6- to 7-year-olds about improbable or impossible outcomes (Experiment 1) and about impossible outcomes concerning ordinary or magical agents (Experiment 2). In both experiments, children claimed that the outcomes were impossible and could not happen, but nonetheless generated realistic and natural explanations for the outcomes. These findings show that 6- to 7-year-olds are strongly inclined to provide natural explanations. The findings are also informative about children’s judgments about whether outcomes are possible, and further suggest that asymmetries between children’s predictions and explanations may stem from differences in how these 2 forms of reasoning are constrained by possibility. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Nancekivell, Shaylene E.;Friedman, Ori",,,,American Psychological Association,2017,,US,53,6,1079,1087,,,*Judgment;  *Prediction;  *Reasoning; Child Characteristics,28394143,2017-15664-001,"Nancekivell, Shaylene E.: Department of Psychology, University of Waterloo, 200 University Avenue West, Waterloo, ON, Canada, N2L 3G1, shaylenen@gmail.com",1939-0599(Electronic);0012-1649(Print),,http://dx.doi.org/10.1037/dev0000311
Journal Article,Relative speed of processing determines color–word contingency learning.,"In three experiments, we tested a relative-speed-of-processing account of color–word contingency learning, a phenomenon in which color identification responses to high-contingency stimuli (words that appear most often in particular colors) are faster than those to low-contingency stimuli. Experiment 1 showed equally large contingency-learning effects whether responding was to the colors or to the words, likely due to slow responding to both dimensions because of the unfamiliar mapping required by the key press responses. For Experiment 2, participants switched to vocal responding, in which reading words is considerably faster than naming colors, and we obtained a contingency-learning effect only for color naming, the slower dimension. In Experiment 3, previewing the color information resulted in a reduced contingency-learning effect for color naming, but it enhanced the contingency-learning effect for word reading. These results are all consistent with contingency learning influencing performance only when the nominally irrelevant feature is faster to process than the relevant feature, and therefore are entirely in accord with a relative-speed-of-processing explanation. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","Forrin, Noah D.;MacLeod, Colin M.",,,,Springer,2017,,Germany,45,7,1206,1222,,,*Cognitive Processing Speed;  *Learning; Color; Words (Phonetic Units),,2017-25238-001,"Forrin, Noah D.: Department of Psychology, University of Waterloo, Waterloo, ON, Canada, N2L 3G1, nforrin@uwaterloo.ca",1532-5946(Electronic);0090-502X(Print),,http://dx.doi.org/10.3758/s13421-017-0721-4
Chapter,Was Buridan a 'psychologist' in his logic?,"If we look back at Gottiob Frege, and all that has stemmed from his work, it may seem easy lo accuse John Buridan of a grossly misconceived psychological approach to logic. For many, if not all, modern logicians, logic involves no reference at all to psychology, for it is the study of formal systems and requires a sharp distinction between formalized syntax, the uninterpreted grammar of the system, and semantics, or whatever relates to interpretation. Even this notion of interpretation can be formalized, so that the well-formed formulas of the system can be regarded not as true or false, but as having some neutrally described value such as 0 or 1. Obviously, such an approach is very far from that adopted by any medieval logician, and the nearest Buridan ever came to contemplating pure formalism is found in his dismissive remarks about certain people who claimed that by the syllogism simpliciter one should understand a syllogism formed from non-significative terms such as A, B, and C. He replied that even the alphabet is ad placitum, and that it is absurd to suppose that any proposition is made of non-significative terms. In order to discover whether Buridan's approach to logic lays him open to Fregean accusations of failing to separate the psychological from the logical, of failing to distinguish taking something to be true from proving it to be true, and of falling into the supposed trap of asking for the meaning of words in isolation rather than in the context of a proposition, I shall start by considering Buridan's account of signification and the role played by concepts in the Buridanian sense of that word. I shall then consider the relationship between spoken language and what may be called mental language, before going on to discuss the truth of propositions and the nature of argumentation. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Ashworth, E. Jennifer",,,,Springer International Publishing,2017,,"Cham,  Switzerland",,,239,260,Questions on the soul by John Buridan and others: A companion to John Buridan's philosophy of mind.,"Historical-analytical studies on nature, mind and action.",*Arguments;  *Language;  *Logic (Philosophy);  *Psychologists; Philosophers,,2017-17603-016,"Ashworth, E. Jennifer: University of Waterloo, Waterloo, ON, Canada, N2L 3G1, ejashwor@uwaterloo.ca",,978-3-319-51762-9 (Hardcover); 978-3-319-51763-6 (Digital (undefined format)),http://dx.doi.org/10.1007/978-3-319-51763-6_16
Journal Article,Global increases in individualism.,"Individualism appears to have increased over the past several decades, yet most research documenting this shift has been limited to the study of a handful of highly developed countries. Is the world becoming more individualist as a whole? If so, why? To answer these questions, we examined 51 years of data on individualist practices and values across 78 countries. Our findings suggest that individualism is indeed rising in most of the societies we tested. Despite dramatic shifts toward greater individualism around the world, however, cultural differences remain sizable. Moreover, cultural differences are primarily linked to changes in socioeconomic development, and to a lesser extent to shifts in pathogen prevalence and disaster frequency. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","Santos, Henri C.;Varnum, Michael E. W.;Grossmann, Igor",,,,Sage Publications,2017,,US,28,9,1228,1239,,,*Cross Cultural Differences;  *Individualism;  *Social Change;  *Social Ecology;  *Open Data; Countries,28703638,2017-40131-005,"Santos, Henri C.: Department of Psychology, University of Waterloo, 200 University Ave. West, Waterloo, ON, Canada, N2L 3G1, hcsantos@uwaterloo.ca",1467-9280(Electronic);0956-7976(Print),,http://dx.doi.org/10.1177/0956797617700622
Journal Article,Wisdom and how to cultivate it: Review of emerging evidence for a constructivist model of wise thinking.,"Some folk beliefs characterize wisdom as an essence – a set of immutable characteristics, developing as a consequence of an innate potential and extraordinary life experiences. Emerging empirical scholarship involving experiments, diary, and cross-cultural studies contradicts such folk beliefs. Characteristics of wise thinking, which include intellectual humility, recognition of uncertainty and change, consideration of different perspectives, and integration of these perspectives, is highly variable across situations. Cumulatively, empirical research suggests that variability in wise thinking is systematic, with greater wisdom in ecological and experimentally-induced contexts promoting an ego-decentered (vs. egocentric) viewpoint. Moreover, teaching for wisdom benefits from appreciation of context-dependency of intentions and actions depicted in the narratives of wisdom exemplars’ lives. I conclude by advancing a constructivist model of wisdom, suggesting that cultural-historical, personal-motivational, and situational contexts play a critical role for wisdom, its development, and its application in daily life. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Grossmann, Igor",,,,Hogrefe Publishing,2017,,Germany,22,4,233,246,,,*Egocentrism;  *Personality Development;  *Reasoning;  *Wisdom; Constructivism; Education; Literature Review; Models,,2018-02884-003,"Grossmann, Igor: Department of Psychology, University of Waterloo, 200 University Avenue West, Waterloo, ON, Canada, N2L 3G1, igrossma@uwaterloo.ca",1878-531X(Electronic);1016-9040(Print),,http://dx.doi.org/10.1027/1016-9040/a000302
Journal Article,Perceived addiction as a predictor of smoking cessation among occasional smokers.,"Introduction: Common short screening measures of dependence that use number of cigarettes per day may not be appropriate for use in populations of occasional smokers. Aims: In this study, we investigate whether perceived addiction (PA) predicts quit attempts and successful cessation among occasional smokers. Methods: Current occasional smokers (18+) in the Ontario Tobacco Survey (OTS) longitudinal cohort study followed up every six months for up to three years. Respondents rated their self-perceived level of addiction (very vs. somewhat or not very addicted). Generalised Estimating Equation models and proportional hazard models were used to test the predictive ability of PA. Results/Findings: Occasional smokers with very high PA had a higher likelihood of reporting a quit attempt (RR: 2.49; 95% CI: 1.88, 3.30) after adjusting for demographics. Given an incident quit attempt, occasional smokers who reported being very addicted were 2.93 times more likely to relapse (95%: 2.01, 4.28). The effect of PA was independent of other predictors of smoking behaviour. Conclusions: For some, occasional smokers, smoking cessation is a difficult process that may require significant support. Asking occasional smokers about PA is an effective way to predict likely success in quitting smokers that may be easily assessed in population based, as well as in community and clinical, settings. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","Chaiton, Michael;Cohen, Joanna E.;Bondy, Sue J.;Selby, Peter;Brown, K. Stephen;Ferrence, Roberta;Garcia, John M.",,,,Cambridge University Press,2017,,United Kingdom,12,3,165,172,,,*Drug Addiction;  *Self-Perception;  *Smoking Cessation;  *Tobacco Smoking; Test Construction,,2017-34314-006,"Chaiton, Michael: Ontario Tobacco Research Unit, T530, 155 College St, Toronto, ON, Canada, M5T 3S7, Michael.chaiton@utoronto.ca",1834-2612(Electronic);0965-8424(Print),,http://dx.doi.org/10.1017/jsc.2015.19
